(index),"	timestamp","	bufferLevel","	throughput","	    latency","	mode"
"29	","'2025-02-15T05:11:37.707Z'	","'0.00'	","'2.97'	",'115.50',3
"30	","'2025-02-15T05:11:45.701Z'	","'0.00'	","'2.97'	",'115.50',3
"31	","'2025-02-15T05:11:53.695Z'	","'0.00'	","'2.97'	",'167.75',3
"32	","'2025-02-15T05:12:01.695Z'	","'3.87'	","'2.17'	",'37.50',4
"33	","'2025-02-15T05:12:09.710Z'	","'0.86'	","'1.76'	",'41.25',4
"34	","'2025-02-15T05:12:17.701Z'	","'7.77'	","'0.89'	",'37.75',4
"35	","'2025-02-15T05:12:25.706Z'	","'9.73'	","'0.91'	",'44.75',4
"36	","'2025-02-15T05:12:33.699Z'	","'11.70'	","'0.98'	",'51.75',4
"37	","'2025-02-15T05:12:41.695Z'	","'13.64'	","'1.00'	",'48.75',4
"38	","'2025-02-15T05:12:49.706Z'	","'5.40'	","'1.00'	",'30.50',4
"39	","'2025-02-15T05:12:57.696Z'	","'7.36'	","'0.97'	",'47.50',4
"40	","'2025-02-15T05:13:05.707Z'	","'9.32'	","'0.91'	",'35.25',4
"41	","'2025-02-15T05:13:13.704Z'	","'11.28'	","'0.94'	",'34.00',4
"42	","'2025-02-15T05:13:21.705Z'	","'13.23'	","'1.00'	",'43.50',4
"43	","'2025-02-15T05:13:29.701Z'	","'5.26'	","'1.00'	",'34.50',4
"44	","'2025-02-15T05:13:37.710Z'	","'7.22'	","'0.96'	",'33.00',4
"45	","'2025-02-15T05:13:45.706Z'	","'14.14'	","'1.09'	",'43.25',4
"46	","'2025-02-15T05:13:53.704Z'	","'16.09'	","'1.09'	",'32.00',4
"47	","'2025-02-15T05:14:01.695Z'	","'12.82'	","'1.09'	",'25.25',4
"48	","'2025-02-15T05:14:09.695Z'	","'14.77'	","'1.09'	",'28.75',5
"49	","'2025-02-15T05:14:17.696Z'	","'11.77'	","'1.09'	",'27.50',5
"50	","'2025-02-15T05:14:25.702Z'	","'13.71'	","'1.09'	",'22.25',5
"51	","'2025-02-15T05:14:33.704Z'	","'15.67'	","'1.09'	",'25.00',5
"52	","'2025-02-15T05:14:41.709Z'	","'12.66'	","'1.09'	",'26.00',5
"53	","'2025-02-15T05:14:49.703Z'	","'14.64'	","'1.09'	",'18.25',5
"54	","'2025-02-15T05:14:57.699Z'	","'16.59'	","'1.09'	",'20.50',5
"55	","'2025-02-15T05:15:05.701Z'	","'13.57'	","'1.09'	",'20.50',5
"56	","'2025-02-15T05:15:13.705Z'	","'15.26'	","'1.09'	",'21.00',5
"57	","'2025-02-15T05:15:21.699Z'	","'12.24'	","'1.09'	",'21.00',5
"58	","'2025-02-15T05:15:29.702Z'	","'14.20'	","'1.09'	",'22.75',5
"59	","'2025-02-15T05:15:37.699Z'	","'16.16'	","'1.09'	",'26.25',5
"60	","'2025-02-15T05:15:45.703Z'	","'13.13'	","'1.09'	",'27.00',5
"61	","'2025-02-15T05:15:53.704Z'	","'15.07'	","'1.09'	",'18.25',5
"62	","'2025-02-15T05:16:01.705Z'	","'12.05'	","'1.09'	",'21.25',5
"63	","'2025-02-15T05:16:09.702Z'	","'14.01'	","'1.09'	",'23.25',5
"64	","'2025-02-15T05:16:17.706Z'	","'15.97'	","'1.09'	",'30.25',5
"65	","'2025-02-15T05:16:25.701Z'	","'12.95'	","'1.09'	",'27.50',5
"66	","'2025-02-15T05:16:33.703Z'	","'14.89'	","'1.09'	",'32.00',5
"67	","'2025-02-15T05:16:41.707Z'	","'11.89'	","'1.09'	",'27.50',5
"68	","'2025-02-15T05:16:49.704Z'	","'13.57'	","'1.09'	",'19.00',5
"69	","'2025-02-15T05:16:57.706Z'	","'15.53'	","'1.09'	",'18.50',5
"70	","'2025-02-15T05:17:05.703Z'	","'12.50'	","'1.09'	",'18.25',5
"71	","'2025-02-15T05:17:13.704Z'	","'14.45'	","'1.09'	",'17.00',5
"72	","'2025-02-15T05:17:21.697Z'	","'16.42'	","'1.09'	",'16.75',5
"73	","'2025-02-15T05:17:29.697Z'	","'13.40'	","'1.09'	",'17.75',5
"74	","'2025-02-15T05:17:37.709Z'	","'15.34'	","'1.09'	",'23.00',5
